Entity,Code,Year,Under-five mortality rate
Africa,,1932,36.6314
Africa,,1933,35.979073
Africa,,1934,35.288647
Africa,,1935,34.61119
Africa,,1936,33.98208
Africa,,1937,33.93274
Africa,,1938,33.55614
Africa,,1939,33.18233
Africa,,1940,32.892414
Africa,,1941,32.537178
Africa,,1942,32.151352
Africa,,1943,31.71308
Africa,,1944,34.12897
Africa,,1945,34.036633
Africa,,1946,33.65062
Africa,,1947,33.257763
Africa,,1948,32.856827
Africa,,1949,32.35051
Africa,,1950,31.961876
Africa,,1951,29.987225
Africa,,1952,29.198528
Africa,,1953,27.753912
Africa,,1954,26.708904
Africa,,1955,28.881872
Africa,,1956,28.327028
Africa,,1957,27.724983
Africa,,1958,27.150501
Africa,,1959,26.60755
Africa,,1960,26.070627
Africa,,1961,25.822947
Africa,,1962,25.388098
Africa,,1963,25.540987
Africa,,1964,26.660784
Africa,,1965,26.172562
Africa,,1966,25.90758
Africa,,1967,25.28531
Africa,,1968,24.670013
Africa,,1969,24.352896
Africa,,1970,23.972471
Africa,,1971,23.581463
Africa,,1972,23.259144
Africa,,1973,22.754293
Africa,,1974,21.699165
Africa,,1975,21.207758
Africa,,1976,20.702047
Africa,,1977,20.19641
Africa,,1978,19.693964
Africa,,1979,19.20204
Africa,,1980,18.808355
Africa,,1981,18.339819
Africa,,1982,17.92334
Africa,,1983,17.641453
Africa,,1984,17.243156
Africa,,1985,16.892553
Africa,,1986,16.442335
Africa,,1987,16.153416
Africa,,1988,15.892827
Africa,,1989,15.660673
Africa,,1990,15.442207
Africa,,1991,15.244869
Africa,,1992,15.06257
Africa,,1993,14.893327
Africa,,1994,14.845591
Africa,,1995,14.447998
Africa,,1996,14.195322
Africa,,1997,13.90491
Africa,,1998,13.568028
Africa,,1999,13.189626
Africa,,2000,12.78173
Africa,,2001,12.346441
Africa,,2002,11.895406
Africa,,2003,11.442665
Africa,,2004,11.000858
Africa,,2005,10.575627
Africa,,2006,10.169171
Africa,,2007,9.763716
Africa,,2008,9.367577
Africa,,2009,8.987486
Africa,,2010,8.642888
Africa,,2011,8.334236
Africa,,2012,8.050932
Africa,,2013,7.7964416
Africa,,2014,7.577729
Africa,,2015,7.3767786
Africa,,2016,7.1708713
Africa,,2017,6.9820905
Africa,,2018,6.792204
Africa,,2019,6.6062803
Africa,,2020,6.420107
Africa,,2021,6.232287
Africa,,2022,6.0536046
